order_id,sale_date,customer_id,product_id,product_name,category,region,quantity,unit_price,discount_pct,revenue,month_name,year,month,quarter
ORD00001,2023-05-21,C0063,P002,Mobile Phone,Electronics,South,1,15300.0,15,15300.0,May,2023,5,2
ORD00002,2023-08-05,C0009,P009,Cooking Oil,Groceries,North,2,180.0,10,360.0,August,2023,8,3
ORD00003,2023-04-12,C0184,P010,Notebook,Stationery,West,1,54.0,10,54.0,April,2023,4,2
ORD00004,2023-08-05,C0088,P001,Laptop,Electronics,East,3,38250.0,15,114750.0,August,2023,8,3
ORD00005,2023-07-14,C0025,P006,T-Shirt,Clothing,East,2,799.0,0,1598.0,July,2023,7,3
ORD00006,2023-03-05,C0097,P001,Laptop,Electronics,North,8,40500.0,10,324000.0,March,2023,3,1
ORD00007,2023-04-09,C0181,P010,Notebook,Stationery,North,6,54.0,10,324.0,April,2023,4,2
ORD00008,2023-02-21,C0098,P005,Study Table,Furniture,East,2,12000.0,0,24000.0,February,2023,2,1
ORD00009,2023-04-18,C0172,P003,Headphones,Electronics,East,6,2500.0,0,15000.0,April,2023,4,2
ORD00010,2023-03-29,C0137,P002,Mobile Phone,Electronics,South,10,15300.0,15,153000.0,March,2023,3,1
ORD00011,2023-06-16,C0197,P009,Cooking Oil,Groceries,North,4,170.0,15,680.0,June,2023,6,2
ORD00012,2023-02-03,C0055,P006,T-Shirt,Clothing,East,7,799.0,0,5593.0,February,2023,2,1
ORD00013,2023-03-13,C0064,P008,Rice 5kg,Groceries,East,3,350.0,0,1050.0,March,2023,3,1
ORD00014,2023-04-23,C0036,P010,Notebook,Stationery,West,7,60.0,0,420.0,April,2023,4,2
ORD00015,2023-03-23,C0175,P002,Mobile Phone,Electronics,West,3,15300.0,15,45900.0,March,2023,3,1
ORD00016,2023-05-09,C0142,P010,Notebook,Stationery,North,8,54.0,10,432.0,May,2023,5,2
ORD00017,2023-06-24,C0029,P009,Cooking Oil,Groceries,East,5,170.0,15,850.0,June,2023,6,2
ORD00018,2023-09-17,C0028,P005,Study Table,Furniture,East,9,12000.0,0,108000.0,September,2023,9,3
ORD00019,2023-03-24,C0139,P004,Desk Chair,Furniture,North,3,8000.0,0,24000.0,March,2023,3,1
ORD00020,2023-05-03,C0015,P002,Mobile Phone,Electronics,South,6,18000.0,0,108000.0,May,2023,5,2
ORD00021,2023-09-30,C0197,P002,Mobile Phone,Electronics,South,8,18000.0,0,144000.0,September,2023,9,3
ORD00022,2023-09-28,C0156,P009,Cooking Oil,Groceries,West,3,200.0,0,600.0,September,2023,9,3
ORD00023,2023-12-10,C0167,P004,Desk Chair,Furniture,East,5,7600.0,5,38000.0,December,2023,12,4
ORD00024,2023-02-02,C0087,P002,Mobile Phone,Electronics,North,4,18000.0,0,72000.0,February,2023,2,1
ORD00025,2023-12-29,C0162,P004,Desk Chair,Furniture,North,1,8000.0,0,8000.0,December,2023,12,4
ORD00026,2023-05-02,C0072,P006,T-Shirt,Clothing,West,2,719.1,10,1438.2,May,2023,5,2
ORD00027,2023-05-05,C0122,P010,Notebook,Stationery,West,10,57.0,5,570.0,May,2023,5,2
ORD00028,2023-07-30,C0120,P007,Jeans,Clothing,North,6,1424.05,5,8544.3,July,2023,7,3
ORD00029,2023-06-23,C0028,P002,Mobile Phone,Electronics,South,1,17100.0,5,17100.0,June,2023,6,2
ORD00030,2023-05-23,C0119,P003,Headphones,Electronics,South,7,2500.0,0,17500.0,May,2023,5,2
ORD00031,2023-11-30,C0139,P009,Cooking Oil,Groceries,North,2,200.0,0,400.0,November,2023,11,4
ORD00032,2023-09-06,C0124,P004,Desk Chair,Furniture,South,3,7600.0,5,22800.0,September,2023,9,3
ORD00033,2023-07-19,C0068,P003,Headphones,Electronics,West,7,2500.0,0,17500.0,July,2023,7,3
ORD00034,2023-04-08,C0076,P009,Cooking Oil,Groceries,South,8,200.0,0,1600.0,April,2023,4,2
ORD00035,2023-06-10,C0015,P009,Cooking Oil,Groceries,North,1,170.0,15,170.0,June,2023,6,2
ORD00036,2023-09-18,C0021,P009,Cooking Oil,Groceries,South,3,200.0,0,600.0,September,2023,9,3
ORD00037,2023-10-19,C0064,P004,Desk Chair,Furniture,North,7,8000.0,0,56000.0,October,2023,10,4
ORD00038,2023-06-11,C0067,P010,Notebook,Stationery,South,10,54.0,10,540.0,June,2023,6,2
ORD00039,2023-12-10,C0166,P005,Study Table,Furniture,East,7,12000.0,0,84000.0,December,2023,12,4
ORD00040,2023-11-15,C0145,P002,Mobile Phone,Electronics,North,1,17100.0,5,17100.0,November,2023,11,4
ORD00041,2023-02-05,C0063,P005,Study Table,Furniture,East,3,12000.0,0,36000.0,February,2023,2,1
ORD00042,2023-12-01,C0136,P009,Cooking Oil,Groceries,North,5,180.0,10,900.0,December,2023,12,4
ORD00043,2023-03-01,C0028,P002,Mobile Phone,Electronics,South,3,18000.0,0,54000.0,March,2023,3,1
ORD00044,2023-11-21,C0068,P006,T-Shirt,Clothing,West,4,679.15,15,2716.6,November,2023,11,4
ORD00046,2023-08-15,C0142,P005,Study Table,Furniture,West,3,10200.0,15,30600.0,August,2023,8,3
ORD00047,2023-07-09,C0150,P003,Headphones,Electronics,South,9,2500.0,0,22500.0,July,2023,7,3
ORD00048,2023-04-18,C0175,P006,T-Shirt,Clothing,South,1,799.0,0,799.0,April,2023,4,2
ORD00049,2023-03-21,C0061,P009,Cooking Oil,Groceries,South,7,180.0,10,1260.0,March,2023,3,1
ORD00050,2023-06-20,C0106,P007,Jeans,Clothing,South,1,1499.0,0,1499.0,June,2023,6,2
ORD00051,2023-08-29,C0057,P002,Mobile Phone,Electronics,South,7,18000.0,0,126000.0,August,2023,8,3
ORD00052,2023-01-13,C0169,P005,Study Table,Furniture,South,4,12000.0,0,48000.0,January,2023,1,1
ORD00053,2023-11-25,C0131,P002,Mobile Phone,Electronics,West,5,18000.0,0,90000.0,November,2023,11,4
ORD00054,2023-05-14,C0046,P006,T-Shirt,Clothing,East,1,799.0,0,799.0,May,2023,5,2
ORD00055,2023-11-07,C0131,P006,T-Shirt,Clothing,North,6,759.05,5,4554.3,November,2023,11,4
ORD00056,2023-08-12,C0001,P005,Study Table,Furniture,South,1,10200.0,15,10200.0,August,2023,8,3
ORD00057,2023-12-06,C0032,P006,T-Shirt,Clothing,East,10,799.0,0,7990.0,December,2023,12,4
ORD00058,2023-06-01,C0142,P006,T-Shirt,Clothing,South,7,679.15,15,4754.05,June,2023,6,2
ORD00059,2023-10-19,C0078,P007,Jeans,Clothing,West,3,1349.1,10,4047.3,October,2023,10,4
ORD00060,2023-10-24,C0156,P005,Study Table,Furniture,East,4,11400.0,5,45600.0,October,2023,10,4
ORD00061,2023-03-28,C0169,P004,Desk Chair,Furniture,North,9,7600.0,5,68400.0,March,2023,3,1
ORD00062,2023-05-01,C0173,P010,Notebook,Stationery,East,6,60.0,0,360.0,May,2023,5,2
ORD00063,2023-09-01,C0157,P001,Laptop,Electronics,North,1,45000.0,0,45000.0,September,2023,9,3
